,source_name,normalized_url,review_source_id,reviewer_source_id,brand_name,product_name,product_source_id,review_date,review_rating,review_content
0,amazon,acuitybrands.com,RC1IHVPJI58SY,amzn1.account.AH6NQKHKAZRALK2H3T4YNPHVLLPA,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-04-23 00:00:00,5.0," Get ready for JOT to be your new favorite coffee! It’s delicious, without the bitterness. Not only is it yummy, but it’s super convenient. I travel with a bottle of JOT whenever I can because it’s so easy. The extra bonus is how fast it was delivered. I ordered it on Tuesday, it shipped the same day and arrived on Thursday! There are only good things to say about JOT and the company- their environmental standards, the flavor, quick and convenient, and the list goes on. This coffee will not disappoint. "
1,amazon,acuitybrands.com,R1LBCKLX9JBGNE,amzn1.account.AG2JQQWSH3GWRZS5JXRJFTOY76DA,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-05-23 00:00:00,5.0, Easy to use and tastes great 
2,amazon,javycoffee.com,R1F9R662YAPQGZ,amzn1.account.AH3ADQH5IT46ASLJCA5T6XA6L5RQ,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-03-23 00:00:00,5.0, This is soooo delicious.  Not bitter.  I’m in love. 
3,amazon,javycoffee.com,R1IUBW5FVUUBRG,amzn1.account.AFVKYKKVFEL2YPGH7CT3JM3PW7MA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-02-19 00:00:00,3.0," It's okay, I love bold coffee flavor and I don't get it from this unless I use 5x the recommended serving size. This does work in a pinch however. I don't think I'll buy it again. "
4,amazon,javycoffee.com,R3HYZMJ4FLGWHR,amzn1.account.AGESJKSKLSXQWXQFIDXQ7QJMNUDA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-03-19 00:00:00,5.0," I use some extra in warm milk. A very smooth taste and easy to handle. Winner, winner, Javy after dinner. "
5,amazon,javycoffee.com,R3M75CKGR78U0U,amzn1.account.AHAX6SXSVP4XFVDVC5J4YG7I4FRQ,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-03-18 00:00:00,5.0, Flavor is great. Two teaspoons does the trick! Definitely will be ordering again. 
6,amazon,javycoffee.com,R1D9VSC6ON0K9P,amzn1.account.AGLVZOCYVYJYLKXMPH5EJOX6Q4JA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-03-02 00:00:00,5.0, Great taste and easy! 
7,amazon,acuitybrands.com,R305YD5T4C7BRF,amzn1.account.AGCNNPPXGWUHLNNMTTFI54VGYW7Q,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-07-13 00:00:00,5.0, Very smooth and flavorful.  Just a  bit  expensive.  Would recommend for flavor and convenience. 
8,amazon,acuitybrands.com,R32KK88Y47J9ME,amzn1.account.AHUIGNKITLHALT2IDA3QHHQ5CWFA,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-06-21 00:00:00,4.0," I’m pretty surprised at how much I like this. I honestly haven’t been to Starbucks since I purchased my first bottle. Just one thing, please strive to make your bottle recyclable. Get with the times! "
9,amazon,javycoffee.com,R2EE4BWEKOUTGZ,amzn1.account.AELZFQQRZLGM64SNSCFLMFGTMBFA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-03-06 00:00:00,5.0," I saw this on TikTok, so I ordered it. It has a great flavor! Highly recommend. Makes iced coffee so easy. "
10,amazon,javycoffee.com,R2XDMAEXMKJ7ER,amzn1.account.AHHU2TDNR57EYTGLTWNYKRZ2B6YA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-02-12 00:00:00,5.0," This stuff tastes great and it makes it so easy to grab it from the fridge, pour over some ice and have an instant iced coffee.  Also tried it as a ""Javytini"" with some vodka.  Yum! "
11,amazon,acuitybrands.com,R3ERP731XMOQ22,amzn1.account.AHFTMEFLJDIYXZ7XT64CLAUUTKBA,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-06-12 00:00:00,5.0, Its a bit pricey but im very happy with the flavor. Its rich and smooth.  I like that i can adjust the amount of concentrate i use to get the strength i want. 
12,amazon,javycoffee.com,R3DU2JFWSCWXV3,amzn1.account.AHQ5U7JULXVSZMBTNACLLFDCXALQ,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-03-25 00:00:00,1.0," The company recommends 1-2 teaspoons per 8oz.  I carefully measured 8oz of water and started with 1 teaspoon.  It wasn't until I got to 2 tablespoons that I was able to get a coffee taste.  Add a splash of creamer and the taste is gone again.  So, 2 1/2 tablespoons of concentrate, 8oz water, splash of creamer.  At which point after drinking the glass, your heart is about to burst out of your chest like an alien. "
13,amazon,javycoffee.com,R1AQSPZYL7AOTQ,amzn1.account.AELRPJMKCJ7LCXJOX4NOJIZPEQHA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-03-20 00:00:00,5.0," Super robust flavor, even though it is decaf. Better than any coffee I've had at an artisan coffee shop. "
14,amazon,javycoffee.com,R2TQKU5OR4LG5H,amzn1.account.AEDNGJUW55CUS6PPYZT7C7DBKKKA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-02-19 00:00:00,5.0," I've been trying to switch from buying coffee every morning to making it at home for some time already but all of the concentrates I've tried so far tasted so 'fake' and just not right... then just by pure coincidence I found this one - it’s so good! I wouldn't know it's homemade if I didn't make it myself! Plus I really like they have a decaf version too, I sometimes drink a late evening cup of coffee so it's nice I can have that and still be able to fall asleep at a normal hour. Checks all my boxes, highly recommend! "
15,amazon,acuitybrands.com,RMN2XE50QZMZE,amzn1.account.AEEYEHFYLCDEJAJIKWFUYFJOC7SA,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-08-07 00:00:00,1.0," The first irser I recieved of my Jot was opened dranken half bottle and spoon missing before I received the box. Was a little worried it could have been poisoned haha so I definitely didn't try this one waiting for replacement ! The replacement was ordered and spoon still missing even though there is a place for the spoon and photo of the spoon in pamphlet and online both say first order you receive a spoon anyway needless to say the replacement was finally received un dranken so I felt safe to try the coffee itself since I had been eaiting weeks to try it frim my original order placement! The coffee itself was ok, a little bitter for my tastebuds. So overall a crappy experience so I am going to give Javi a try! "
16,amazon,acuitybrands.com,R1NII27ILPT2J2,amzn1.account.AFGMW7QUN3RKHIUO4IXAKZDC4CKQ,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-06-10 00:00:00,5.0, This stuff is AWESOME! Good bye Starbucks iced coffees! It is so simple and delicious. 
17,amazon,acuitybrands.com,R1A45RUE2LEHDQ,amzn1.account.AFFSNGUJL3IZP5WQ2SBEX5QFHPRA,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-04-24 00:00:00,5.0, I love this coffee! So easy and delicious! 
18,amazon,acuitybrands.com,R32A4CWVIH15VN,amzn1.account.AHPCGZ7NBQ2L2L7Q7U4YUWH4GP2Q,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-06-16 00:00:00,5.0, Easy and delicious iced coffee. I also add it to greek yogurt. 
19,amazon,acuitybrands.com,R16C6RZVSJ0C4V,amzn1.account.AHXTS5ZPG6GZNM4NTYWGNOQIIM3A,Jot,Jot Concentrated Coffee - 20X Stronger Than Regular Coffee or Cold Brew - 150 mg of Caffeine - Create Instant Iced Coffee or Add a Shot for a Latte - 1 Bottle (14 Servings),B091V5NX6R,2021-04-29 00:00:00,5.0, So convenient and delicious 
20,amazon,javycoffee.com,R2KQD62896GI4,amzn1.account.AFZWB4CEF3Z7N52J4MEZEQXORSRA,Javy Coffee,"Javy Coffee Microdose 30X Liquid Coffee Concentrate, Artisan Roasted Cold Brew Coffee Arabica, Unsweetened Iced Coffee & Cold-Brew, Concentrated Cold Brew Coffee, Ice Coffee 6oz. Bottle, 30 Servings",B08SJ4HVSY,2021-01-31 00:00:00,5.0," Best micro dose coffee supplement I’ve ever tried. Convenient, tastes great, perfect amount of caffeine, affordable price. Can’t go wrong here, definitely will be ordering again/hopping onto their monthly subscription through their website. Great alternative! "
